week,day,date,win_loss,OT,opp,pts_scored,pts_allowed,passes_completed,passing_att,passing_yds,passing_tds,int_thrown,times_sacked,yds_lost_from_sack,yds/pass_attempt,netyds/pass_attempt,pass_completion_percent,passer_rating,rushing_attempts,rushing_yds_gained,rushing_yds/attempt,rushing_tds,fgm,fga,xpm,xpa,times_punted,total_punt_yds,3dconv,3dattempt,4dconv,4datt,off_top,year,home_or_away
4,Sun,October 3,L,,Cleveland Browns,7,14,20,38,190,1,1,2,13,5.3,4.8,52.6,64.6,23,65,2.8,0,0,0,1,1,6,291,5,16,1,3,24.466666666666665,2021,home
5,Sun,October 10,W,,Detroit Lions,19,17,25,34,264,1,1,2,11,8.1,7.3,73.5,93.3,28,120,4.3,0,4,5,1,1,3,150,5,13,0,0,32.1,2021,home
6,Sun,October 17,W,OT,Carolina Panthers,34,28,33,48,373,3,0,0,0,7.8,7.8,68.8,112.6,36,198,5.5,1,3,5,1,1,5,188,7,16,0,0,37.63333333333333,2021,away
8,Sun,October 31,L,,Dallas Cowboys,16,20,23,36,177,1,0,1,7,5.1,4.8,63.9,85.1,24,101,4.2,0,3,3,1,1,6,237,1,13,1,2,27.466666666666665,2021,home
9,Sun,November 7,L,OT,Baltimore Ravens,31,34,17,28,187,2,0,0,0,6.7,6.7,60.7,104.3,24,131,5.5,1,1,1,4,4,5,242,5,14,2,2,23.666666666666668,2021,away
10,Sun,November 14,W,,Los Angeles Chargers,27,20,25,37,278,2,0,2,16,7.9,7.1,67.6,107.7,33,103,3.1,1,2,2,3,3,3,137,5,14,2,2,36.166666666666664,2021,away
11,Sun,November 21,W,,Green Bay Packers,34,31,24,35,318,3,0,2,23,9.7,8.6,68.6,125.7,29,90,3.1,1,2,2,2,3,3,125,9,13,0,0,31.016666666666666,2021,home
12,Sun,November 28,L,,San Francisco 49ers,26,34,21,33,256,2,1,1,6,7.9,7.5,63.6,95.0,18,67,3.7,1,0,0,2,3,3,160,2,8,1,3,22.883333333333333,2021,away
13,Sun,December 5,L,,Detroit Lions,27,29,30,41,326,2,0,3,14,8.3,7.4,73.2,112.4,27,100,3.7,1,3,3,0,0,3,132,6,13,0,1,33.06666666666667,2021,away
14,Thu,December 9,W,,Pittsburgh Steelers,36,28,14,31,216,2,2,0,0,7.0,7.0,45.2,63.4,36,242,6.7,2,3,4,3,4,3,146,5,14,1,1,30.466666666666665,2021,home
15,Mon,December 20,W,,Chicago Bears,17,9,12,24,61,2,1,4,26,3.6,2.2,50.0,66.7,33,132,4.0,0,1,1,2,2,7,295,5,17,0,1,30.75,2021,away
16,Sun,December 26,L,,Los Angeles Rams,23,30,27,38,295,1,1,3,20,8.3,7.2,71.1,91.4,22,66,3.0,1,3,3,2,2,5,226,2,12,1,1,30.0,2021,home
17,Sun,January 2,L,,Green Bay Packers,10,37,24,39,179,1,0,2,15,5.0,4.4,61.5,81.0,11,27,2.5,0,1,1,1,1,6,296,2,12,1,4,21.45,2021,away
18,Sun,January 9,W,,Chicago Bears,31,17,14,22,227,3,0,3,23,11.4,9.1,63.6,137.7,22,104,4.7,0,1,1,4,4,6,272,7,13,0,0,23.216666666666665,2021,home
1,Sun,September 10,L,,Tampa Bay Buccaneers,17,20,33,44,328,2,1,2,16,7.8,7.1,75.0,101.3,17,41,2.4,0,1,1,2,2,5,257,6,14,0,0,29.35,2023,home
2,Thu,September 14,L,,Philadelphia Eagles,28,34,31,44,346,4,0,2,18,8.3,7.5,70.5,123.9,9,28,3.1,0,0,0,4,4,3,157,6,10,1,1,20.533333333333335,2023,away
3,Sun,September 24,L,,Los Angeles Chargers,24,28,32,50,345,3,1,4,22,7.3,6.4,64.0,95.8,24,130,5.4,0,1,1,3,3,3,145,4,14,2,3,33.21666666666667,2023,home
4,Sun,October 1,W,,Carolina Panthers,21,13,12,19,130,2,2,2,9,7.3,6.2,63.2,78.7,23,135,5.9,0,0,0,3,3,4,216,1,8,1,2,21.516666666666666,2023,away
5,Sun,October 8,L,,Kansas City Chiefs,20,27,29,47,259,2,0,3,25,6.0,5.2,61.7,90.6,18,70,3.9,0,2,2,2,2,1,54,6,14,4,5,28.016666666666666,2023,home
6,Sun,October 15,W,,Chicago Bears,19,13,21,31,174,1,0,2,7,5.8,5.3,67.7,92.7,22,46,2.1,0,2,3,1,2,5,249,2,13,1,2,24.816666666666666,2023,away
7,Mon,October 23,W,,San Francisco 49ers,22,17,35,45,378,2,1,0,0,8.4,8.4,77.8,107.2,21,74,3.5,0,3,4,1,2,1,42,8,13,0,0,34.93333333333333,2023,home
8,Sun,October 29,W,,Green Bay Packers,24,10,26,35,284,2,0,3,13,8.5,7.5,74.3,116.8,31,62,2.0,1,1,3,3,3,2,87,10,18,1,1,36.36666666666667,2023,away
9,Sun,November 5,W,,Atlanta Falcons,31,28,25,36,217,2,0,4,19,6.6,5.4,69.4,103.6,33,146,4.4,1,3,3,2,2,3,133,7,16,1,1,31.533333333333335,2023,away
10,Sun,November 12,W,,New Orleans Saints,27,19,23,34,263,1,0,1,5,7.9,7.5,67.6,100.5,33,125,3.8,2,2,3,3,3,6,258,6,15,0,0,33.1,2023,home
11,Sun,November 19,L,,Denver Broncos,20,21,20,32,210,1,1,2,11,6.9,6.2,62.5,78.9,36,175,4.9,1,2,2,2,2,2,95,6,15,3,4,34.96666666666667,2023,away
12,Mon,November 27,L,,Chicago Bears,10,12,22,32,169,1,4,2,16,5.8,5.0,68.8,52.2,17,73,4.3,0,1,1,1,1,3,116,2,9,0,2,24.166666666666668,2023,home
14,Sun,December 10,W,,Las Vegas Raiders,3,0,19,36,99,0,0,5,47,4.1,2.4,52.8,58.6,30,132,4.4,0,1,2,0,0,9,397,8,20,1,1,32.18333333333333,2023,away
15,Sat,December 16,L,OT,Cincinnati Bengals,24,27,26,34,281,2,2,3,22,8.9,7.6,76.5,95.3,30,143,4.8,1,1,1,3,3,3,152,5,12,0,1,33.68333333333333,2023,away
16,Sun,December 24,L,,Detroit Lions,24,30,22,36,373,2,4,4,38,11.4,9.3,61.1,75.1,11,17,1.5,1,1,1,3,3,2,100,3,9,0,1,21.633333333333333,2023,home
17,Sun,December 31,L,,Green Bay Packers,10,33,18,32,144,1,1,4,36,5.6,4.0,56.3,65.1,16,67,4.2,0,1,1,1,1,4,218,3,10,0,2,22.466666666666665,2023,home
18,Sun,January 7,L,,Detroit Lions,20,30,30,44,359,2,2,4,37,9.0,7.5,68.2,89.1,22,89,4.0,0,2,2,2,2,4,224,2,13,2,3,34.983333333333334,2023,away
